Rubrik,Ingress,Beskrivning,URL förälder,URL etikett,Kontaktperson,Sidans innehåll,Kategori,Status,Publicerad,Länk - Tidigare artiklar,Fakta - Rubrik,Fakta - innehåll,Dokument id,Kombinerad url,,,
Nya storstadssatsningar i Gårdsten,Nu är det klart vilka storstadssatsningar det blir i Gårdsten under nästa år. Och Gårdstensborna har varit med och sagt sitt innan beslutet togs. Gunnareds stadsdelsnämnd tog nyligen beslut om åtgärdsplan och budget för storstadssatsningen i Gårdsten.,"Nyligen blev det klart vilka storstadssatsningar det blir i Gårdsten under nästa år. Och Gårdstensborna har varit med och sagt sitt innan beslutet togs. Totalt satsas 13,8 miljoner kronor 2002.",ovrigt,nya_storstadssatsningar_i_gardsten,,"Totalt satsas 13,8 miljoner kronor under nästa år. Det blir fortsatt kompetensutveckling för alla pedagoger i förskola och skola. Metoder ska utvecklas som främjar barnens språkutveckling på modersmålet och på svenska.Områdets skolor får en internationell och interkulturell profil, vilket ger eleverna möjlighet att utveckla sin flerspråkighet. Undervisningen kommer att ske i huvudsak på svenska men även erbjudas lektioner på bland arabiska och persiska. Skolan håller öppet på eftermiddagar, kvällar och helger för elever, föräldrar och andra boende. Fjorton föreningar driver idag bland annat kurser och läxläsning. Nästa år ges ytterligare stöd till föreningar och större möjlighet till eftermiddagsverksamhet för 9-12 åringar i föreningsregi.Nytt för nästa år blir en trygghetsgrupp knuten till Gårdstensbostäder med avlönade vuxenvandrare. De skall utöva tillsyn, medla i konflikter, eskortera boende och ha kontakter med polis, socialtjänst och skola.Kulturtolkar kommer att informerar om friskvård och sjukvård på en mängd olika språk. De ska ha en nära kontakt med de boende och kunna forma motionsaktiviteter och föreläsningar utifrån deras behov.En träffpunkt för äldre invandrare startar under nästa år, som en mötesplats, ett informationscenter och ett komplement till den öppna hemtjänsten. Det blir även utbildningslokal och träffpunkt för anhörigvårdare.",Övrigt,2,2001-12-04 11:32:49,,,,00659A44BE714A88C1256B18002F2CFB,"ovrigt,nya_storstadssatsningar_i_gardsten",,,
EUROjump - Göteborg satsar på nya idrottsarrangemang,"Toppidrottarna i världen inom hoppgrenarna gör på tisdagskvällen upp i Scandinavium. Då genomförs hoppgala EUROjump för första gången och den arrangeras av Got Event AB, kommunens arena- och evenemangsbolag. Om det hela går bra kan tävlingen komma att hållas varje år.","Toppidrottarna i världen inom hoppgrenarna gör på tisdagskvällen upp i Scandinavium. Då genomförs hoppgala EUROjump för första gången och den arrangeras av Got Event AB, kommunens arena- och evenemangsbolag. Om det hela går bra kan tävlingen komma att hållas varje år.",kultur_o_fritid,eurojump__goteborg_satsar_pa_nya_idrottsarrangemang,,"EUROjump är ett helt nytt arrangemang för Göteborg och idén har funnits i ett års tid. Om det slår väl ut bland publik och sponsorer så är tanken det körs varje år i Scandinavium fram till EM i friidrott 2006. Förhoppningen är att det ska leva vidare även efter EM.- Allting tyder redan på att vi kommer att vara så pass nöjda att vi kör fler tävlingar, säger Anders Albertsson, evenemangsledare för idrottsevenemang på Got Event.5.500 biljetter är sålda av cirka 9.000 och Anders Albertsson hoppas att en hel del publik ska köpa biljetten på plats på kvällen. Arrangemanget genomförs i samarbete med Svenska Friidrottförbundet.",Kultur & fritid,2,2002-03-05 14:12:43,,,,01B5F7131618BAEBC1256B730045914C,"kultur_o_fritid,eurojump__goteborg_satsar_pa_nya_idrottsarrangemang",,,
Göteborg förebild för brottsförebyggande arbete,"Brottsförebyggande rådet, BRÅ, lyfter fram två projekt i Göteborg som goda exempel för att öka tryggheten i staden. Projekten presenteras under BRÅ:s årliga konferens i Stockholm.","Brottsförebyggande rådet, BRÅ, lyfter fram två projekt i Göteborg som goda exempel för att öka tryggheten i staden. Projekten presenteras under BRÅ:s årliga konferens i Stockholm.",tema_trygghet,goteborg_forebild_for_brottsforebyggande_arbete,,"Gamlestaden visas upp som förebild. En handbok för trygghetsarbete presenteras, liksom rådet Tryggare och Mänskligare Göteborg och det lokala samarbetet kring brottsprevention. Den 4 april är det dags för BRÅ:s konferens och studiedag i Stockholm om lokalt arbete med brottsprevention som i år i huvudsak fokuserar på bebyggelseinriktade åtgärder mot brott och där bland andra justitieminister Thomas Bodström medverkar.GamlestadenI två av sju olika seminarier får deltagarna, som kommer från hela landet, lära sig om det trygghetsarbete som pågår i Göteborg just nu. I det ena seminariet presenteras Gamlestaden och det som är på gång där för att göra miljön tryggare för medborgarna. I det andra seminariet presenteras syftet med det nybildade centrala brottsförebyggande rådet i Göteborg, Tryggare och Mänskligare Göteborg, som en samordnande funktion för det lokala brottsförebyggande arbetet.Ett övergripande mål är att alla göteborgare ska känna sig trygga var man än är, oavsett tidpunkt på dygnet. För att nå målet krävs att stadsplanerarna beaktar trygghet i planeringen av stadens fysiska miljö. TrygghetsvandringarI det arbetet är trygghetsvandringar ett verktyg och nu håller samhällsplanerare Eva Holm vid Göteborgs stadsbyggnadskontor i samarbete med arkitekt Gerd Cruse Sondén vid Tema Stadsbyggnad vid Chalmers på att arbeta fram en handbok om trygghetsvandringar.Handboken ska kunna användas av planerare, politiker och andra som på något sätt är inblandade i stadsplanering. Trygghetsvandringar är ett sätt att inventera och systematiskt ta reda på vad som kan göras för att göra den egna stadsdelen eller kommunen till en tryggare plats.Under studiedagen kommer bland annat också arkitekt och lektor Bo Grönlund vid Kunstakademiets Arkitektskole i Köpenhamn att berätta om typiska svenska problem med trygghet och säkerhet i stadsdelar och bostadsområden och peka på möjliga lösningar genom bebyggelseinriktade åtgärder.Sonny MattissonTryggare och Mänskligare Göteborg",TEMA trygghet,2,2002-02-11 15:04:58,,,,01E62F499C4F4A72C1256B5D004D46BE,"tema_trygghet,goteborg_forebild_for_brottsforebyggande_arbete",,,
Missbrukarens sociala nätverk kartlagt,Mer än varannan narkotikamissbrukare saknar en nära vän. Det konstaterar Anette Skårner i en ny doktorsavhandling vid institutionen för socialt arbete vid Göteborgs universitet. Hennes viktigaste slutsats är: Se hela människan – då blir missbrukaren mer än bara en missbrukare.,Mer än varannan narkotikamissbrukare saknar en nära vän. Det konstaterar Anette Skårner i en ny doktorsavhandling vid institutionen för socialt arbete vid Göteborgs universitet. Hennes viktigaste slutsats är: Se hela människan – då blir missbrukaren mer än bara en missbrukare.,vard_o_omsorg,missbrukarens_sociala_natverk_kartlagt,,"Anette Skårner är socionom med lång erfarenhet av arbete med missbrukare, bl a inom Göteborgs öppna narkomanvård. Sedan slutet av 80-talet är hon knuten till Socialhögskolan som lärare och forskare. Hennes doktorsavhandling, som presenterats i år, bär titeln Skilda världar - En studie av narkotikamissbrukares sociala relationer och sociala nätverk. Syftet har varit att studera narkotikamissbrukares sociala nätverk och vilken betydelse dessa har i missbrukarnas liv. Få sådana studier har gjorts tidigare. Anette har intervjuat 29 personer som är eller har varit missbrukare (12 befann sig i ett aktivt missbruk) i åldrarna 20–56 år. Hon har också träffat anhöriga och behandlare till dem, vilket gör att sammanlagt 75 personer intervjuats.Splittrade familjerMissbrukarna har bl a fått använda sig av nätverkskartor där de fört in viktiga personer: familj, släkt, arbetskamrater, vänner och grannar samt experter. Enligt flera undersökningar består ”medelsvenssons” sociala nätverk av mellan 20 till 40 personer. Då inkluderas familj, vänner, släktingar och nära bekanta, t ex grannar och vissa arbetskamrater.Endast ett fåtal av missbrukarna i Anette Skårners avhandling har ett någorlunda stort och allsidigt nätverk. Nätverken är för de flesta sammansatta av människor som funnits att tillgå ur en begränsad krets. Nästan alla saknar helt arbetskamrater, många saknar familj och några har nätverk bestående av endast ett fåtal personer. Färre än hälften av missbrukarna uppger att de har en ""bästa"" eller nära vän. En annan gemensam nämnare är att missbrukarnas pappor ofta varit frånvarande.– Bara här försvinner stora potentiella nätverk i form av farmor, farfar, övriga släktingar och vänner till familjen, konstaterar Anette.Missbrukarnas familjenätverk kan i generationer präglas av splittring, död, konflikter och separationer, men samtidigt också av extremt starka sociala band. Många säger att de även innan de börjat missbruka känt sig ensamma och utsatta.Graviditet – en vändpunktKvinnorna har färre relationer till drogfria vänner och arbetskamrater. Kvinnorna lever med missbrukande män, både under tiden i missbruk och efteråt. Männen verkar ha en helt annan möjlighet att finna en drogfri partner både i samband med uppbrott ur missbruk och så länge de själva använder droger. Dessutom är kvinnornas berättelser mer skuld- och skamtyngda trots att de upplever att de ger mer stöd än de får tillbaka.Graviditet kan vara en vändpunkt och anledning för kvinnorna att bryta med missbruket - barnen är centrala i deras liv. Även för männen är barnen viktiga men när de missbrukar försämras kontakten och kan till och med helt upphöra. Många män försöker dock återuppta kontakten med sina barn när de blivit drogfria.Inga schablonlösningarAnette Skårner anser att allt behandlingsarbete måste vara individuellt anpassat.– Det finns inga schablonlösningar, men internationell forskning visar att familjeterapi ger mycket goda resultat även för vuxna missbrukare.Avhandlingen visar att individen måste utveckla nya, eller återupprätta gamla, sociala band utanför missbrukarvärlden för att långsiktigt kunna behålla sin drogfrihet. Kontakten med professionella behandlare kan också i sig leda till att klienten förbättrar sin förmåga att skapa nya nätverk. I behandlingen kan man t ex diskutera hur man går till väga för att få nya vänner.– Dessutom kan man bevilja bidrag till olika aktiviteter där man kan träffa andra människor.Missbrukarna litar på de professionella behandlarna för de har, som en av de intervjuade uttrycker det ”ingenting att vinna på att skada mig”. Men de professionella måste kunna visa förståelse och respekt, annars bär inte relationen och missbrukaren visar endast upp en fasad. Möts man av respekt blir man själv öppen och ärlig. – Genom att sätta fokus på hela människan blir klienten mer än bara en missbrukare eller före detta missbrukare, säger Anette.– Drogfrihet är en grundförutsättning för att kunna hantera och orientera sig i den konventionella världen, men denna blir oftast kortvarig om inte livet fylls med ny mening, identitet och gemenskap.Göteborg valde rätt vägDet är främst inom narkomanvården de flesta missbrukare känner sig respekterade som hela människor, inte stigmatiserade som narkomaner. Anette Skårner menar att dessa behandlares specifika kunskaper om narkomani också gör det lättare för dem att urskilja människan bakom missbruket.Göteborg var den enda storstaden i Sverige som under 90-talets besparingsiver valde att behålla sin specialiserade narkomanvård. Det tunga missbruket har enligt den senaste rikstäckande undersökningen endast ökat marginellt här jämfört med Malmö och Stockholm. Anette Skårners avhandling är ytterligare en bekräftelse på att vi valde rätt väg.Ulla-Carin MobergKunskapskällar´n, Göteborgs Stads informationscenter för alkohol- och narkotikafrågorHar du problem med droger han du vända dig hit:För ungdomar upp till 20 årUngdomsteamet Mini-Maria Nordost, tfn: 332 74 00Ungdomsteamet Mini-Maria Centrum, tfn: 701 82 40Kommunens narkomanvårdsgrupperNarkomanvårdsgruppen Centrum, tfn: 85 19 80Narkomanvårdsgruppen Hisingen, tfn: 64 15 41Narkomanvårdsgruppen Norr, tfn: 332 89 50Narkomanvårdsgruppen Väster, tfn: 366 06 15För information: Kunskapskällar´n, Göteborgs Stads informationscenter för alkohol- och narkotikafrågor, tfn: 61 28 00 eller 61 28 96",Vård & omsorg,2,2002-03-09 11:45:31,,,,01F2895ACB6CF87AC1256B77003AA173,"vard_o_omsorg,missbrukarens_sociala_natverk_kartlagt",,,
Norrmännen älskar Norra Älvstranden,Norska företag har satsat närmare 800 miljoner kronor på Norra Älvstranden de senaste tre åren. Numera ägs bland annat Eriksbergshallen av ett norskt konsortium.,Norska företag har satsat närmare 800 miljoner kronor på Norra Älvstranden de senaste tre åren. Numera ägs bland annat Eriksbergshallen av ett norskt konsortium.,naringsliv,norrmannen_alskar_norra_alvstranden,,"- De har i högsta grad varit med och förändrat bilden av området, säger Lars Ivarson, vd på Norra Älvstranden Utveckling AB. Det är en rad norska företag som etablerat sig i det expansiva området. Den senaste affären är Semcon-huset på drygt 15 000 kvadratmeter som byggs på Lundby strand. Ägare är den norska AF-gruppen och huset ska stå klar i början av 2003. Andra norska investeringar på Norra Älvstranden är Blå Hallen med Hotel 11 och 200 lägenheter. Det är också tydligt att Göteborg och Oslo har ett väl fungerande samarbete. Bland annat deltog de båda städerna i en gemensam monter på den stora fastighets- och investerarmässan MIPIM i Cannes i våras. Det var Business Region Göteborg och motsvarigheten i Oslo som stod för samarbetet. En liknande satsning är planerad även för våren 2002.- Investeringarna visar tydligt att det finns väl upptrampade stigar mellan Göteborg och Oslo. Och det är roligt att den här formen av handelsförbindelser börjar uppmärksammas mer, säger Lars Ivarson.Jan Riise",Näringsliv,2,2001-12-03 11:30:21,,,,028183564780F009C1256B1700397EFA,"naringsliv,norrmannen_alskar_norra_alvstranden",,,
Trädet - en unik familjecentral,Familjehuset Trädet på Pianogatan i Frölunda är unikt i såväl Göteborg som hela Västra Götaland. En familjecentral där barnfamiljer får all tänkbar hjälp under ett och samma tak.,Familjehuset Trädet på Pianogatan i Frölunda är unikt i såväl Göteborg som hela Västra Götaland. En familjecentral där barnfamiljer får all tänkbar hjälp under ett och samma tak.,vard_o_omsorg,tradet__en_unik_familjecentral,,"- Med den här modellen får vi en helhetsbild av familjen vilket fördjupar kvalitén för dem vi ska hjälpa, säger Elsebritt Alm, distriktssköterska på Trädet.Trädet är en verksamhet som startade i september månad år 2000, men som funnits som idé mycket längre än så och som hela tiden utvecklas under resans gång.Istället för att barnfamiljerna ska åka runt till olika instanser räcker det att komma till Trädet som ligger ett stenkast från Frölunda torg för att få all den service man har rätt till. På Trädet finns mödravård med barnmorska, barnavårdscentral med två sjuksköterskor, två socialsekreterare och en öppen förskola med två förskollärare. Hit finns också barnläkare ett antal timmar varje vecka.- Vi har ett nära samarbete, alla vi som arbetar här med olika kompetenser och bakgrunder.Verksamheten på Trädet är omfattande och aktiviteterna av vitt skilda slag. Det kan handla om att jobba socialt förebyggande. Att stämma i bäcken där problem är på väg att ta form inom en familj. Kanske vara ett stöd vid en skilsmässosituation.Baby-café och spädbarnsmassageMen det kan lika väl vara att umgås och knyta kontakter varje onsdag på ”baby-café” med sina minsta telningar, eller att delta i föräldrautbildning och spädbarnsmassage.- Dessutom har vi många studiebesök från hela Sverige, men vi har faktiskt också haft besök från Norge och till och med Sydafrika. I Norge finns ett nationellt beslut om att införa sådana här familjecentra, säger Elsebritt.Sonny MattissonLäs mer om Trädet i pappersupplagan av Vårt Göteborg som utkommer lördag 9 februari. (Tidningen delas ut till samtliga hushåll i Göteborgs kommun)",Vård & omsorg,2,2002-02-09 00:15:32,,,,03C32FE3E6350B69C1256B5A004B87AD,"vard_o_omsorg,tradet__en_unik_familjecentral",,,
Ny bro mellan Sahlgrenska och Medicinareberget,Under onsdagen invigs bron som knyter samman Biomedicinska biblioteket på Medicinareberget med Jubileumskliniken vid Sahlgrenska sjukhuset. Nu behöver man inte längre ta sig över den hårt trafikerade Pehr Dubbsgatan. Det går också att gå inomhus från vårdvetenskapliga fakultetens lokaler i Annedal till Sahlgrenska sjukhuset.,Under onsdagen invigs bron som knyter samman Biomedicinska biblioteket på Medicinareberget med Jubileumskliniken vid Sahlgrenska sjukhuset. Nu behöver man inte längre ta sig över den hårt trafikerade Pehr Dubbsgatan. Det går också att gå inomhus från vårdvetenskapliga fakultetens lokaler i Annedal till Sahlgrenska sjukhuset.,ovrigt,ny_bro_mellan_sahlgrenska_och_medicinareberget,,"Bron skapar förutsättningar för en ännu starkare samhörighet inom Sahlgrenska akademin, men är också ett praktiskt sätt att stärka banden mellan akademin och Sahlgrenska Universitetssjukhuset.",Övrigt,2,2002-03-06 13:16:09,,,,0411DA1EBF0ED0A0C1256B74004295E1,"ovrigt,ny_bro_mellan_sahlgrenska_och_medicinareberget",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
